Protocol,Stations,Probability,Collisions,AvgDelay,Throughput
p-Persistent,10,0.1,80,114.476,0.862069
p-Persistent,10,0.3,327,104.234,0.604595
p-Persistent,10,0.5,511,100.02,0.49456
p-Persistent,10,0.7,547,95.63,0.477555
p-Persistent,10,0.9,542,88.584,0.479846
Non-Persistent,5,0,0,32.436,1
1-Persistent,5,0,214,52.004,0.538793
p-Persistent_Opt,5,0.1,11,66.612,0.957854
CSMA/CD,5,0,241,49.504,0.509165
Non-Persistent,10,0,0,60.814,1
1-Persistent,10,0,562,95.346,0.47081
p-Persistent_Opt,10,0.1,73,109,0.8726
CSMA/CD,10,0,551,83.884,0.475737
Non-Persistent,15,0,2,100.681,0.99734
1-Persistent,15,0,1210,139.547,0.382653
p-Persistent_Opt,15,0.1,185,159.448,0.802139
CSMA/CD,15,0,1011,120.053,0.425894
Non-Persistent,20,0,0,122.761,1
1-Persistent,20,0,1633,181.366,0.379795
p-Persistent_Opt,20,0.1,217,204.618,0.821693
CSMA/CD,20,0,1710,167.471,0.369004
